date,ticker,action,quantity,price,fees
2023-01-10,AAPL,buy,10,130.50,0.99
2023-02-15,MSFT,buy,5,255.00,0.99
2023-03-20,GOOGL,buy,3,95.00,0.99
2023-04-05,AAPL,buy,5,165.00,0.99
2023-06-10,TSLA,buy,8,260.00,0.99
2023-07-15,NVDA,buy,4,420.00,0.99
2023-08-20,AAPL,sell,5,178.00,0.99
2023-09-10,MSFT,buy,3,310.00,0.99
2023-10-05,AMZN,buy,6,128.00,0.99
2023-11-20,TSLA,sell,4,235.00,0.99
2024-01-08,NVDA,buy,2,495.00,0.99
2024-02-14,GOOGL,buy,2,140.00,0.99
2024-03-19,AMZN,buy,4,178.00,0.99
2024-05-10,META,buy,5,460.00,0.99
2024-06-25,MSFT,sell,2,445.00,0.99
